,long_exposure,short_exposure,gross_exposure,net_exposure
2018-03-13,0.0,0.06853349117273098,0.06853349117273098,-0.06853349117273098
2018-03-14,0.0,0.06887033008870243,0.06887033008870243,-0.06887033008870243
2018-03-15,0.0,0.0682882563869642,0.0682882563869642,-0.0682882563869642
2018-03-16,0.0,0.06820674636801975,0.06820674636801975,-0.06820674636801975
2018-03-19,0.0,0.06805957762366378,0.06805957762366378,-0.06805957762366378
2018-03-20,0.0,0.06783946377348049,0.06783946377348049,-0.06783946377348049
2018-03-21,0.0,0.06777785630512176,0.06777785630512176,-0.06777785630512176
2018-03-22,0.0,0.06848884043878961,0.06848884043878961,-0.06848884043878961
2018-03-23,0.0,0.06816801932706404,0.06816801932706404,-0.06816801932706404
2018-03-26,0.0,0.06865111424185057,0.06865111424185057,-0.06865111424185057
2018-03-27,0.0,0.06797262423833896,0.06797262423833896,-0.06797262423833896
2018-03-28,0.0,0.0,0.0,0.0
2018-03-29,0.0,0.0,0.0,0.0
2018-03-30,0.0,0.0,0.0,0.0
2018-04-02,0.0,0.0,0.0,0.0
2018-04-03,0.0,0.07133527833286522,0.07133527833286522,-0.07133527833286522
2018-04-04,0.0,0.07123658462874224,0.07123658462874224,-0.07123658462874224
2018-04-05,0.0,0.0710861075372258,0.0710861075372258,-0.0710861075372258
2018-04-06,0.0,0.07154051549136922,0.07154051549136922,-0.07154051549136922
2018-04-09,0.0,0.07151385695456688,0.07151385695456688,-0.07151385695456688
2018-04-10,0.0,0.07099069040554562,0.07099069040554562,-0.07099069040554562
2018-04-11,0.0,0.0,0.0,0.0
2018-04-12,0.0,0.0,0.0,0.0
2018-04-13,0.0,0.0,0.0,0.0
2018-04-16,0.0,0.0,0.0,0.0
2018-04-17,0.0,0.0,0.0,0.0
2018-04-18,0.0,0.0,0.0,0.0
2018-04-19,0.0,0.0,0.0,0.0
2018-04-20,0.0,0.0,0.0,0.0
2018-04-23,0.0,0.0,0.0,0.0
2018-04-24,0.0,0.0,0.0,0.0
2018-04-25,0.0,0.0,0.0,0.0
2018-04-26,0.0,0.0,0.0,0.0
2018-04-27,0.0,0.0,0.0,0.0
2018-04-30,0.0,0.0,0.0,0.0
2018-05-01,0.0,0.0,0.0,0.0
2018-05-02,0.0,0.0,0.0,0.0
2018-05-03,0.0,0.0,0.0,0.0
2018-05-04,0.0,0.0,0.0,0.0
2018-05-07,0.0,0.0,0.0,0.0
2018-05-08,0.0,0.05308038637478515,0.05308038637478515,-0.05308038637478515
2018-05-09,0.0,0.05309207525876461,0.05309207525876461,-0.05309207525876461
2018-05-10,0.0,0.05299489567604671,0.05299489567604671,-0.05299489567604671
