,gross_leverage,net_leverage,gross_exposure,net_exposure,equity
2018-03-13,0.12747229358127962,-0.12747229358127962,12747.229358127963,-12747.229358127963,100000.0
2018-03-14,0.1281335512151418,-0.1281335512151418,12805.844548957977,-12805.844548957977,99941.38480916999
2018-03-15,0.12699109199895353,-0.12699109199895353,12704.531453437998,-12704.531453437998,100042.69790468997
2018-03-16,0.1268311944625163,-0.1268311944625163,12690.335377741743,-12690.335377741743,100056.89398038623
2018-03-19,0.12654254785727645,-0.12654254785727645,12664.698456319453,-12664.698456319453,100082.53090180851
2018-03-20,0.12611095930812458,-0.12611095930812458,12626.341246534463,-12626.341246534463,100120.88811159351
2018-03-21,0.12599018974866988,-0.12599018974866988,12615.602648934291,-12615.602648934291,100131.62670919368
2018-03-22,0.12738466542405147,-0.12738466542405147,12739.456664395679,-12739.456664395679,100007.77269373229
2018-03-23,0.12675523129316285,-0.12675523129316285,12683.589778900643,-12683.589778900643,100063.63957922733
2018-03-26,0.1277031618821226,-0.1277031618821226,12767.701793485658,-12767.701793485658,99979.52756464231
2018-03-27,0.12637203561749785,-0.12637203561749785,12649.547781438376,-12649.547781438376,100097.68157668959
2018-03-28,0.0,0.0,0.0,0.0,125607.42827403022
2018-03-29,0.0,0.0,0.0,0.0,125607.42827403022
2018-03-30,0.0,0.0,0.0,0.0,125607.42827403022
2018-04-02,0.0,0.0,0.0,0.0,125607.42827403022
2018-04-03,0.14989770583005949,-0.14989770583005949,18828.26533349088,-18828.26533349088,125607.42827403022
2018-04-04,0.1496751341945594,-0.1496751341945594,18803.948333052755,-18803.948333052755,125631.74527446834
2018-04-05,0.14933586882663266,-0.14933586882663266,18766.863872852853,-18766.863872852853,125668.82973466825
2018-04-06,0.1503606963063126,-0.1503606963063126,18878.819080002082,-18878.819080002082,125556.87452751902
2018-04-09,0.15030054679457905,-0.15030054679457905,18872.253678708774,-18872.253678708774,125563.43992881232
2018-04-10,0.14912079590020708,-0.14912079590020708,18743.343314293696,-18743.343314293696,125692.3502932274
2018-04-11,0.0,0.0,0.0,0.0,163460.9991581077
2018-04-12,0.0,0.0,0.0,0.0,163460.9991581077
2018-04-13,0.0,0.0,0.0,0.0,163460.9991581077
2018-04-16,0.0,0.0,0.0,0.0,163460.9991581077
2018-04-17,0.0,0.0,0.0,0.0,163460.9991581077
2018-04-18,0.0,0.0,0.0,0.0,163460.9991581077
2018-04-19,0.0,0.0,0.0,0.0,163460.9991581077
2018-04-20,0.0,0.0,0.0,0.0,163460.9991581077
2018-04-23,0.0,0.0,0.0,0.0,163460.9991581077
2018-04-24,0.0,0.0,0.0,0.0,163460.9991581077
2018-04-25,0.0,0.0,0.0,0.0,163460.9991581077
2018-04-26,0.0,0.0,0.0,0.0,163460.9991581077
2018-04-27,0.0,0.0,0.0,0.0,163460.9991581077
2018-04-30,0.0,0.0,0.0,0.0,163460.9991581077
2018-05-01,0.0,0.0,0.0,0.0,163460.9991581077
2018-05-02,0.0,0.0,0.0,0.0,163460.9991581077
2018-05-03,0.0,0.0,0.0,0.0,163460.9991581077
2018-05-04,0.0,0.0,0.0,0.0,163460.9991581077
2018-05-07,0.0,0.0,0.0,0.0,163460.9991581077
2018-05-08,0.12714786309526832,-0.12714786309526832,20783.716742370845,-20783.716742370845,163460.99915810768
2018-05-09,0.12717783222506016,-0.12717783222506016,20788.06280362189,-20788.06280362189,163456.65309685664
2018-05-10,0.12692870171297232,-0.12692870171297232,20751.927385624036,-20751.927385624036,163492.7885148545
2018-05-11,0.12697472550756383,-0.12697472550756383,20758.604162259297,-20758.604162259297,163486.11173821925
2018-05-14,0.0,0.0,0.0,0.0,205246.19903680985
2018-05-15,0.14350557298575553,0.14350557298575553,29453.973395925823,29453.973395925823,205246.19903680985
2018-05-16,0.14263068008358795,0.14263068008358795,29244.532215138428,29244.532215138428,205036.75785602245
2018-05-17,0.1419979803102902,0.1419979803102902,29093.33593909688,29093.33593909688,204885.5615799809
2018-05-18,0.14238813227960576,0.14238813227960576,29186.544193720532,29186.544193720532,204978.76983460455
2018-05-21,0.1418233313679578,0.1418233313679578,29051.639342187336,29051.639342187336,204843.86498307134
2018-05-22,0.14164463720640294,0.14164463720640294,29008.99453062156,29008.99453062156,204801.22017150559
2018-05-23,0.14269289698312268,0.14269289698312268,29259.41224041707,29259.41224041707,205051.63788130108
2018-05-24,0.14252934635769302,0.14252934635769302,29220.30148662228,29220.30148662228,205012.5271275063
2018-05-25,0.1431691232784313,0.1431691232784313,29373.379867527812,29373.379867527812,205165.60550841183
2018-05-28,0.1425810983585778,0.1425810983585778,29232.675611411203,29232.675611411203,205024.9012522952
2018-05-29,0.14252821733971724,0.14252821733971724,29220.03155024295,29220.03155024295,205012.25719112696
2018-05-30,0.1419304013027252,0.1419304013027252,29077.19976210495,29077.19976210495,204869.42540298897
2018-05-31,0.14178015942439823,0.14178015942439823,29041.334863824726,29041.334863824726,204833.56050470873
2018-06-01,0.14249247570868245,0.14249247570868245,29211.48646784243,29211.48646784243,205003.71210872644
2018-06-04,0.14132786648108958,0.14132786648108958,28933.441792240585,28933.441792240585,204725.66743312462
2018-06-05,0.14174177030678117,0.14174177030678117,29032.172843148328,29032.172843148328,204824.39848403234
2018-06-06,0.14201283193549066,0.14201283193549066,29096.882476484418,29096.882476484418,204889.10811736842
2018-06-07,0.14167627554641413,0.14167627554641413,29016.543629468404,29016.543629468404,204808.76927035244
2018-06-08,0.1407211798629096,0.1407211798629096,28788.896948449572,28788.896948449572,204581.1225893336
2018-06-11,0.14087031173019116,0.14087031173019116,28824.40912459581,28824.40912459581,204616.63476547983
2018-06-12,0.14058288403250765,0.14058288403250765,28755.97612838747,28755.97612838747,204548.2017692715
2018-06-13,0.14084841969584158,0.14084841969584158,28819.195289808715,28819.195289808715,204611.42093069272
2018-06-14,0.14096113148105757,0.14096113148105757,28846.0417101208,28846.0417101208,204638.26735100482
2018-06-15,0.0,0.0,0.0,0.0,204940.14270499465
2018-06-18,0.0,0.0,0.0,0.0,204940.14270499465
2018-06-19,0.0,0.0,0.0,0.0,204940.14270499465
2018-06-20,0.0,0.0,0.0,0.0,204940.14270499465
2018-06-21,0.0,0.0,0.0,0.0,204940.14270499465
2018-06-22,0.12972715562784812,-0.12972715562784812,26586.301787084245,-26586.301787084245,204940.14270499465
2018-06-25,0.13058187061131513,-0.13058187061131513,26741.23564480577,-26741.23564480577,204785.20884727314
2018-06-26,0.13101690066895488,-0.13101690066895488,26820.003452038272,-26820.003452038272,204706.44104004063
2018-06-27,0.13244508279084172,-0.13244508279084172,27078.168800425825,-27078.168800425825,204448.27569165308
2018-06-28,0.13149907168468963,-0.13149907168468963,26907.23596956634,-26907.23596956634,204619.20852251258
2018-06-29,0.1310478348148104,-0.1310478348148104,26825.60217095163,-26825.60217095163,204700.84232112727
2018-07-02,0.13034449554690697,-0.13034449554690697,26698.23025810157,-26698.23025810157,204828.21423397734
2018-07-03,0.13011798879874328,-0.13011798879874328,26657.177046668636,-26657.177046668636,204869.26744541028
2018-07-04,0.0,0.0,0.0,0.0,258239.9967368134
2018-07-05,0.0,0.0,0.0,0.0,258239.9967368134
2018-07-06,0.0,0.0,0.0,0.0,258239.9967368134
2018-07-09,0.0,0.0,0.0,0.0,258239.9967368134
