,value
leverage.avg_gross,0.0983
leverage.max_gross,0.2016
leverage.avg_net,-0.0008
leverage.max_net,0.2016
leverage.min_net,-0.1965
leverage.pct_leveraged,0.0
leverage.leverage_utilisation,0.0328
exposure.avg_gross,0.0983
exposure.max_gross,0.2016
exposure.avg_net,-0.0008
exposure.avg_long,0.0487
exposure.avg_short,0.0496
exposure.pct_fully_invested,0.0
exposure.max_long_exposure,0.2016
exposure.max_short_exposure,0.1965
risk_budget.avg_utilisation,0.1779
risk_budget.max_utilisation,0.9628
risk_budget.pct_over_budget,0.0
risk_budget.pct_under_50,0.9397
risk_budget.avg_forecast_vol,0.246591
risk_budget.avg_realised_vol,0.172218
position.avg_size,940230.99
position.max_size,4080582.4
position.avg_weight,0.1359
position.max_weight,0.2016
position.avg_num_positions,0.72
position.max_num_positions,1
position.hhi_concentration,0.0138
position.avg_turnover,0.0136
regime_vol.n_bars,"{'EXTREME': 154, 'HIGH': 275, 'LOW': 155, 'NORMAL': 365}"
regime_vol.pct_time,"{'EXTREME': 0.1623, 'HIGH': 0.2898, 'LOW': 0.1633, 'NORMAL': 0.3846}"
regime_vol.sharpe,"{'EXTREME': 2.8165, 'HIGH': 3.1373, 'LOW': 2.499, 'NORMAL': 1.6086}"
regime_vol.sortino,"{'EXTREME': 50.9159, 'HIGH': 105.9544, 'LOW': 159.9156, 'NORMAL': 59.8752}"
regime_vol.cagr,"{'EXTREME': 5.752846, 'HIGH': 8.734253, 'LOW': 3.208354, 'NORMAL': 0.954346}"
regime_vol.max_drawdown,"{'EXTREME': -0.0427, 'HIGH': -0.0311, 'LOW': -0.0144, 'NORMAL': -0.0213}"
regime_vol.win_rate,"{'EXTREME': 0.3831, 'HIGH': 0.3418, 'LOW': 0.3677, 'NORMAL': 0.3534}"
regime_vol.avg_return,"{'EXTREME': 0.0086, 'HIGH': 0.010203, 'LOW': 0.006426, 'NORMAL': 0.003037}"
regime_vol.total_return,"{'EXTREME': 2.212984, 'HIGH': 10.981325, 'LOW': 1.420352, 'NORMAL': 1.639309}"
regime_vol.contribution,"{'EXTREME': 1.324364, 'HIGH': 2.805864, 'LOW': 0.996037, 'NORMAL': 1.10848}"
regime_trend.n_bars,"{'DOWNTREND': 348, 'RANGE_BOUND': 229, 'STRONG_DOWNTREND': 18, 'STRONG_UPTREND': 49, 'UPTREND': 305}"
regime_trend.pct_time,"{'DOWNTREND': 0.3667, 'RANGE_BOUND': 0.2413, 'STRONG_DOWNTREND': 0.019, 'STRONG_UPTREND': 0.0516, 'UPTREND': 0.3214}"
regime_trend.sharpe,"{'DOWNTREND': 0.5978, 'RANGE_BOUND': 2.32, 'STRONG_DOWNTREND': 4.1797, 'STRONG_UPTREND': 3.1904, 'UPTREND': 3.642}"
