trade_id,symbol,direction,signal_source,entry_timestamp,exit_timestamp,entry_price,exit_price,quantity,commission,realised_pnl,realised_return,holding_duration_days,holding_duration_bucket,mfe,mae,mfe_pct,mae_pct,vol_regime,trend_regime,entry_vol,exit_vol
63,XYZ,LONG,Volume_Exhaustion,2021-02-13,2021-03-05,489.0789831532737,418.2809033566226,2000.0,15.0,-141611.16,-0.144773,20.0,5-20d,26286.75,141596.16,0.0269,0.1448,HIGH,UPTREND,0.278124,0.218778
29,XYZ,SHORT,ZScore,2019-06-30,2019-07-24,181.69510527129398,200.33562143429168,3000.0,20.0,-55941.55,-0.102629,24.0,20+d,27422.16,55921.55,0.0503,0.1026,NORMAL,RANGE_BOUND,0.237501,0.143355
44,XYZ,SHORT,ZScore,2020-03-16,2020-04-10,297.88472528302697,320.97522011316244,2000.0,15.0,-46195.99,-0.07754,25.0,20+d,13116.2,46180.99,0.022,0.0775,HIGH,UPTREND,0.261396,0.192708
23,XYZ,SHORT,ZScore,2019-03-11,2019-03-31,179.05232008182338,201.18323272592144,2000.0,15.0,-44276.83,-0.123642,20.0,5-20d,16786.34,44261.83,0.0469,0.1236,HIGH,RANGE_BOUND,0.284172,0.272639
52,XYZ,LONG,Composite,2020-08-08,2020-08-20,432.0197459811114,401.8010402598773,1000.0,10.0,-30228.71,-0.069971,12.0,5-20d,0.0,30218.71,0.0,0.0699,NORMAL,UPTREND,0.215634,0.208425
55,XYZ,LONG,VWAP_Reversion,2020-10-07,2020-10-16,404.30595082788994,377.1250676116997,1000.0,10.0,-27190.88,-0.067253,9.0,5-20d,0.0,31227.84,0.0,0.0772,NORMAL,RANGE_BOUND,0.188659,0.228081
57,XYZ,SHORT,VWAP_Reversion,2020-11-06,2020-11-11,370.65325932096437,395.7930763361187,1000.0,10.0,-25149.82,-0.067853,5.0,1-5d,0.0,25139.82,0.0,0.0678,NORMAL,DOWNTREND,0.219155,0.184575
56,XYZ,SHORT,VWAP_Reversion,2020-10-22,2020-11-02,352.0279247804148,363.6364407652098,2000.0,15.0,-23232.03,-0.032997,11.0,5-20d,1761.58,31020.53,0.0025,0.0441,NORMAL,RANGE_BOUND,0.205837,0.21548
15,XYZ,SHORT,ZScore,2018-09-24,2018-10-23,136.90818714071906,144.16517161886134,3000.0,20.0,-21790.95,-0.053055,29.0,20+d,25014.9,29536.38,0.0609,0.0719,NORMAL,UPTREND,0.204619,0.217082
66,XYZ,LONG,Volume_Exhaustion,2021-04-20,2021-04-21,460.45328105012385,442.77362090644294,1000.0,10.0,-17689.66,-0.038418,1.0,0-1d,0.0,17679.66,0.0,0.0384,NORMAL,UPTREND,0.212123,0.246717
